* Measurement data measured by REW V5.20.4
* Source: C:\Users\plevy\Downloads\us (1).csv
* Format: Comma/Tab/Space delimited data
* Dated: Jun 7, 2022 6:43:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\plevy\Downloads\us (1).csv Format: Comma/Tab/Space delimited data 482 values loaded, 19 Hz to 19,873 Hz log spaced
* Measurement: us (1)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	4.650
20.299999	4.661
20.600000	4.671
20.900000	4.680
21.200001	4.687
21.400000	4.691
21.799999	4.698
22.000000	4.701
22.400000	4.706
22.700001	4.708
23.000000	4.709
23.299999	4.709
23.600000	4.709
24.000000	4.707
24.299999	4.704
24.700001	4.700
25.000000	4.697
25.400000	4.691
25.799999	4.682
26.200001	4.672
26.500000	4.664
26.900000	4.654
27.200001	4.646
27.600000	4.635
28.000000	4.624
28.500000	4.608
29.000000	4.590
29.500000	4.572
30.000000	4.553
30.400000	4.537
30.700001	4.525
31.100000	4.509
31.500000	4.493
32.000000	4.473
32.500000	4.450
33.000000	4.426
33.500000	4.404
34.000000	4.382
34.500000	4.360
35.000000	4.336
35.500000	4.312
36.000000	4.288
36.500000	4.264
37.000000	4.240
37.500000	4.216
38.200001	4.183
38.700001	4.158
39.500000	4.121
40.000000	4.097
40.599998	4.068
41.200001	4.040
41.799999	4.013
42.500000	3.980
43.099998	3.952
43.700001	3.923
44.400002	3.891
45.000000	3.863
45.500000	3.840
46.200001	3.808
46.799999	3.781
47.500000	3.750
48.200001	3.720
48.700001	3.698
49.400002	3.666
50.000000	3.639
50.799999	3.603
51.500000	3.573
52.200001	3.544
53.000000	3.512
53.799999	3.479
54.500000	3.450
55.200001	3.421
56.000000	3.389
57.000000	3.349
58.000000	3.309
59.000000	3.271
60.000000	3.234
60.799999	3.204
61.500000	3.177
62.200001	3.151
63.000000	3.122
64.000000	3.085
65.000000	3.048
66.000000	3.011
67.000000	2.975
68.000000	2.939
69.000000	2.905
70.000000	2.871
71.000000	2.836
72.000000	2.801
73.000000	2.767
74.000000	2.733
75.000000	2.700
76.199997	2.660
77.500000	2.617
78.800003	2.575
80.000000	2.537
81.199997	2.499
82.500000	2.458
83.800003	2.417
85.000000	2.379
86.199997	2.340
87.500000	2.300
88.500000	2.271
90.000000	2.227
91.199997	2.192
92.500000	2.154
93.800003	2.114
95.000000	2.077
96.199997	2.040
97.500000	2.000
98.800003	1.963
100.000000	1.929
101.500000	1.887
103.000000	1.844
104.400002	1.804
106.000000	1.758
107.500000	1.716
109.000000	1.674
110.599998	1.629
112.000000	1.590
113.800003	1.541
115.000000	1.508
117.199997	1.449
118.000000	1.428
120.599998	1.360
122.000000	1.324
124.099998	1.270
125.000000	1.247
126.500000	1.208
128.000000	1.169
131.500000	1.080
132.000000	1.068
134.000000	1.019
136.000000	0.969
138.000000	0.921
140.000000	0.874
143.000000	0.804
145.000000	0.756
147.500000	0.698
150.000000	0.639
152.500000	0.582
155.000000	0.527
157.500000	0.474
160.000000	0.423
162.500000	0.371
165.000000	0.319
167.500000	0.267
170.000000	0.216
172.500000	0.165
175.000000	0.116
177.500000	0.067
180.000000	0.020
182.500000	-0.026
185.000000	-0.070
187.500000	-0.114
190.000000	-0.159
192.500000	-0.203
195.000000	-0.246
197.500000	-0.287
200.000000	-0.328
203.000000	-0.376
206.000000	-0.423
209.000000	-0.469
212.000000	-0.513
214.000000	-0.542
218.000000	-0.600
220.000000	-0.629
224.000000	-0.685
227.000000	-0.726
230.000000	-0.765
233.000000	-0.803
236.000000	-0.840
240.000000	-0.888
243.000000	-0.924
247.000000	-0.972
250.000000	-1.007
254.000000	-1.049
258.000000	-1.090
262.000000	-1.130
265.000000	-1.160
269.000000	-1.198
272.000000	-1.226
276.000000	-1.262
280.000000	-1.296
285.000000	-1.338
290.000000	-1.377
295.000000	-1.413
300.000000	-1.448
304.000000	-1.476
307.000000	-1.496
311.000000	-1.523
315.000000	-1.549
320.000000	-1.581
325.000000	-1.610
330.000000	-1.637
335.000000	-1.663
340.000000	-1.686
345.000000	-1.710
350.000000	-1.733
355.000000	-1.754
360.000000	-1.773
365.000000	-1.790
370.000000	-1.805
375.000000	-1.821
382.000000	-1.842
387.000000	-1.855
395.000000	-1.875
400.000000	-1.885
406.000000	-1.897
412.000000	-1.909
418.000000	-1.918
425.000000	-1.928
431.000000	-1.936
437.000000	-1.944
444.000000	-1.950
450.000000	-1.955
455.000000	-1.957
462.000000	-1.959
468.000000	-1.960
475.000000	-1.960
482.000000	-1.959
487.000000	-1.958
494.000000	-1.955
500.000000	-1.952
508.000000	-1.947
515.000000	-1.942
522.000000	-1.936
530.000000	-1.928
538.000000	-1.918
545.000000	-1.909
552.000000	-1.898
560.000000	-1.885
570.000000	-1.868
580.000000	-1.850
590.000000	-1.830
600.000000	-1.807
608.000000	-1.789
615.000000	-1.773
622.000000	-1.757
630.000000	-1.738
640.000000	-1.713
650.000000	-1.687
660.000000	-1.660
670.000000	-1.631
680.000000	-1.601
690.000000	-1.570
700.000000	-1.540
710.000000	-1.509
720.000000	-1.477
730.000000	-1.444
740.000000	-1.410
750.000000	-1.375
762.000000	-1.332
775.000000	-1.285
788.000000	-1.237
800.000000	-1.191
812.000000	-1.145
825.000000	-1.093
838.000000	-1.041
850.000000	-0.992
862.000000	-0.942
875.000000	-0.888
885.000000	-0.846
900.000000	-0.782
912.000000	-0.730
925.000000	-0.672
938.000000	-0.615
950.000000	-0.561
962.000000	-0.508
975.000000	-0.449
988.000000	-0.390
1000.000000	-0.334
1015.000000	-0.264
1030.000000	-0.191
1044.000000	-0.122
