* Measurement data measured by REW V5.20.13
* Source: Flat @ 0 Filtered
* Format: 
* Dated: Jul 28, 2023 11:21:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/REW/Targets/Flat @ 0.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LS 12dB  Fc   20.00 Hz  Gain   1.50 dB LS 6dB   Fc   120.0 Hz  Gain   0.80 dB PK       Fc   450.0 Hz  Gain  -0.20 dB  Q  0.700 PK       Fc    1025 Hz  Gain   0.80 dB  Q  1.900 HSQ      Fc    1300 Hz  Gain  -0.90 dB Q   1.50 PK       Fc    1625 Hz  Gain   0.90 dB  Q  3.600 PK       Fc    2135 Hz  Gain   0.50 dB  Q  5.000 PK       Fc    2400 Hz  Gain  -0.40 dB  Q  2.000 PK       Fc    2650 Hz  Gain  -0.30 dB  Q  7.000 PK       Fc    3750 Hz  Gain   1.10 dB  Q  1.414 HSQ      Fc    4900 Hz  Gain   2.90 dB Q  0.707 PK       Fc    5290 Hz  Gain  -0.70 dB  Q  5.000 PK       Fc    9880 Hz  Gain   2.50 dB  Q  4.000 HSQ      Fc   13000 Hz  Gain  -4.30 dB Q  0.800
* Measurement: EQ Flat @ 0
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	1.587
20.299999	1.571
20.600000	1.549
20.900000	1.527
21.200001	1.505
21.400000	1.490
21.799999	1.462
22.000000	1.448
22.400000	1.420
22.700001	1.400
23.000000	1.381
23.299999	1.361
23.600000	1.343
24.000000	1.318
24.299999	1.300
24.700001	1.277
25.000000	1.260
25.400000	1.239
25.799999	1.218
26.200001	1.198
26.500000	1.183
26.900000	1.164
27.200001	1.151
27.600000	1.133
28.000000	1.116
28.500000	1.096
29.000000	1.077
29.500000	1.059
30.000000	1.042
30.400000	1.028
30.700001	1.019
31.100000	1.007
31.500000	0.995
32.000000	0.981
32.500000	0.968
33.000000	0.955
33.500000	0.943
34.000000	0.931
34.500000	0.920
35.000000	0.910
35.500000	0.900
36.000000	0.891
36.500000	0.882
37.000000	0.873
37.500000	0.865
38.200001	0.854
38.700001	0.846
39.500000	0.835
40.000000	0.828
40.599998	0.821
41.200001	0.813
41.799999	0.806
42.500000	0.798
43.099998	0.792
43.700001	0.786
44.400002	0.779
45.000000	0.773
45.500000	0.768
46.200001	0.762
46.799999	0.757
47.500000	0.751
48.200001	0.745
48.700001	0.742
49.400002	0.736
50.000000	0.732
50.799999	0.726
51.500000	0.721
52.200001	0.716
53.000000	0.711
53.799999	0.706
54.500000	0.701
55.200001	0.697
56.000000	0.692
57.000000	0.686
58.000000	0.680
59.000000	0.674
60.000000	0.668
60.799999	0.664
61.500000	0.660
62.200001	0.656
63.000000	0.652
64.000000	0.647
65.000000	0.641
66.000000	0.636
67.000000	0.631
68.000000	0.626
69.000000	0.621
70.000000	0.616
71.000000	0.611
72.000000	0.606
