* Measurement data measured by REW V5.31
* Source: P:\Reviews\Squig\site\data\PaulWasabii2024 Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 3, 2024 2:40:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from P:\Reviews\Squig\site\data\PaulWasabii2024 Target.txt Format: Comma/Tab/Space delimited data 30 values loaded, 20 Hz to 20,000 Hz
* Measurement: PaulWasabii2024 Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1800.000000	4.308
1825.000000	4.453
1850.000000	4.596
1875.000000	4.736
1900.000000	4.875
1925.000000	5.010
1950.000000	5.141
1975.000000	5.265
2000.000000	5.381
2030.000000	5.508
2060.000000	5.623
2090.000000	5.731
2120.000000	5.835
2140.000000	5.902
2180.000000	6.033
2200.000000	6.096
2240.000000	6.221
2270.000000	6.313
2300.000000	6.404
2330.000000	6.494
2360.000000	6.584
2400.000000	6.706
2430.000000	6.802
2470.000000	6.944
2500.000000	7.068
2540.000000	7.257
2580.000000	7.458
2620.000000	7.647
2650.000000	7.767
2690.000000	7.882
2720.000000	7.930
2760.000000	7.947
2800.000000	7.924
2850.000000	7.856
2900.000000	7.756
2950.000000	7.631
3000.000000	7.487
3040.000000	7.361
3070.000000	7.263
3110.000000	7.129
3150.000000	6.995
3200.000000	6.829
3250.000000	6.669
3300.000000	6.516
3350.000000	6.374
3400.000000	6.250
3450.000000	6.154
3500.000000	6.100
3550.000000	6.094
3600.000000	6.126
3650.000000	6.180
3700.000000	6.243
3750.000000	6.307
3820.000000	6.385
3870.000000	6.422
3950.000000	6.424
4000.000000	6.372
4060.000000	6.248
4120.000000	6.074
4180.000000	5.871
4250.000000	5.618
4310.000000	5.394
4370.000000	5.167
4440.000000	4.901
4500.000000	4.673
4550.000000	4.486
4620.000000	4.228
4680.000000	4.014
4750.000000	3.775
4820.000000	3.552
4870.000000	3.407
4940.000000	3.239
5000.000000	3.138
5080.000000	3.076
5150.000000	3.077
5220.000000	3.111
5300.000000	3.175
5380.000000	3.256
5450.000000	3.336
5520.000000	3.422
5600.000000	3.525
5700.000000	3.653
5800.000000	3.774
5900.000000	3.873
6000.000000	3.939
6080.000000	3.963
6150.000000	3.966
6220.000000	3.959
6300.000000	3.942
6400.000000	3.910
6500.000000	3.870
6600.000000	3.821
6700.000000	3.763
6800.000000	3.695
6900.000000	3.617
7000.000000	3.529
7100.000000	3.430
7200.000000	3.319
7300.000000	3.198
7400.000000	3.064
7500.000000	2.918
7620.000000	2.724
7750.000000	2.486
7880.000000	2.203
8000.000000	1.879
8120.000000	1.480
8250.000000	0.977
8380.000000	0.430
8500.000000	-0.094
8620.000000	-0.627
8750.000000	-1.207
8850.000000	-1.652
9000.000000	-2.311
9120.000000	-2.826
9250.000000	-3.367
9380.000000	-3.886
9500.000000	-4.339
9620.000000	-4.762
9750.000000	-5.174
9880.000000	-5.520
10000.000000	-5.763
10150.000000	-5.960
10300.000000	-6.068
10440.000000	-6.124
10600.000000	-6.161
10750.000000	-6.181
10900.000000	-6.190
11060.000000	-6.189
11200.000000	-6.180
11380.000000	-6.157
11500.000000	-6.135
11720.000000	-6.082
11800.000000	-6.058
12060.000000	-5.968
12200.000000	-5.911
12410.000000	-5.816
12500.000000	-5.771
12650.000000	-5.693
12800.000000	-5.609
13150.000000	-5.394
13200.000000	-5.361
13400.000000	-5.227
13600.000000	-5.086
13800.000000	-4.939
14000.000000	-4.790
14300.000000	-4.569
14500.000000	-4.445
14750.000000	-4.383
15000.000000	-4.542
15250.000000	-5.014
15500.000000	-5.754
15750.000000	-6.658
16000.000000	-7.659
16250.000000	-8.727
16500.000000	-9.849
16750.000000	-11.020
17000.000000	-12.236
17250.000000	-13.493
17500.000000	-14.788
17750.000000	-16.117
18000.000000	-17.479
18250.000000	-18.868
18500.000000	-20.283
18750.000000	-21.719
19000.000000	-23.170
19250.000000	-24.623
19500.000000	-26.031
19750.000000	-27.268
20000.000000	-28.073
